109,Saints Row IV,Saints Row,United Arab Emirates,Banned likely due to sexual themes excessive violence and for the use of drugs and alcohol. Ban did not extend to digital versions of the games however.
110,Scarface: The World is Yours,Scarface,Germany,Banned because of high impact violence and cruelty.
111,Shellshock II: Blood Trails,Shellshock,Australia,Banned because of high impact gory violence throughout.
112,Silent Hill VI: Homecoming,Silent Hill,Australia,Banned because of a high impact torture scene involving drilling into body parts. Konami has since modified this part of the game.
113,Silent Hill VI: Homecoming,Silent Hill,Germany,Banned because of high impact violence and cruelty.
114,Singles: Flirt Up Your Life,Singles: Flirt Up Your Life,Australia,Banned because of sexuality and nudity in relation to incentives and rewards.
115,Soldier of Fortune III: Payback,Soldier of Fortune,Australia,Banned because of high impact violence involving graphic depictions of dismemberment. Activision has since modified the game to receive an MA15+ rating.
116,Soldier of Fortune III: Payback,Soldier of Fortune,Germany,Banned due to high levels of gore (decapitations dismemberments and excessive blood-letting)
117,Sonic Blast Man,Sonic Blast Man,United States,Recalled and banned (due to federal law prohibiting resale of recalled items) from American arcades due to safety issues surrounding the game's punching bag controller
118,South Park: The Stick of Truth,South Park,Australia,Banned due to a scene of sexual violence involving minors. A version was released replacing said scene with a title card.
119,Spec Ops XI: The Line,Spec Ops,United Arab Emirates,Banned likely due to the game's fictional depiction of the U.A.E.'s real-life city of Dubai in a state of ravage and destruction. Unlike other banned games the NMC had extended their focus for this title going far as to issue the TRA to block the game's official website and subsequently stop the title's distribution throughout the rest of the GCC as well as Jordan and Lebanon. Local retailers such as Geekay Games are not even able to sell the game via their online shops to U.A.E. residents. Digital distribution platform Steam does not offer the game in the region although that is likely the publisher's decision. It is currently unknown whether the game would be available via PSN's official Middle Eastern hub.
120,State of Decay,State of Decay,Australia,Banned due to drug use related to incentives and rewards.
121,Syndicate,Syndicate,Australia,Banned for high impact violence including depictions of frequent mutilations.
122,The Cat In The Hat,The Cat In The Hat,Brazil,Banned due to a copyright claim by Discovery Communications.
123,The Darkness,The Darkness,Germany,Banned because of Nazi signs in bonus comic.
124,The Darkness,The Darkness,Singapore,Banned because of excessive violence. The ban was later lifted for the PlayStation 3 version.
125,The Getaway,The Getaway,Australia,Originally released uncut with an MA15+ it was later resubmitted and banned due to a scene of high impact torture. A censored version omitting this scene was later released with an MA15+.
126,The Godfather II,The Godfather,United Arab Emirates,Banned likely due to nudity.
127,The Guy Game,The Guy Game,United States,banned due to existing pornography laws
128,The Punisher,The Punisher,United Kingdom,Despite the game already being the edited American release it was threatened with being refused classification due to objectionable content: The interrogation scenes were deemed very high in impact and could cause harm to the public. The publishers made edits at the request of the BBFC to further mask these scenes and this final version received an 18 certificate.
129,The Witcher II,The Witcher,Australia,Banned because of sex related to incentive and rewards. A side quest was given a minor edit (changing the context of sex being used as an incentive) and the game was subsequently re-rated MA15+.
130,Three Sisters' Story,Three Sisters' Story,New Zealand,Banned because it tends to promote and support the use of violence to compel a person to submit to sexual conduct and the exploitation of young persons for sexual purposes.
131,Tom Clancy's Splinter Cell II: Pandora Tomorrow,Tom Clancy's Splinter Cell,Indonesia,Banned because an organization called Darah & Doa was considered as a threat by the President of Indonesia
132,Tom Clancy's Splinter Cell III: Chaos Theory,Tom Clancy's Splinter Cell,South Korea,Banned until 2006 because one of the levels has Sam Fisher in Seoul South Korea during a war with North Korea against South Korea and the United States.
133,Voyeur,Voyeur,Australia,Originally rated MA15+. Later appealed and banned because of a scene of high impact sexual dialogue involving incest.
134,Watch Dogs,Watch Dogs,United Arab Emirates,Initially banned and also withheld from regional distribution both physically and digitally likely due to sexual themes nudity excessive violence and for the use of drugs and alcohol. Despite the ban the game continues to be visibly listed on digital platforms like Steam. The game's local distributor had since confirmed that the title will be officially available in the U.A.E. and the rest of the region by August 15 2014 for some platforms (PS3 PS4 XB360) and without any in-game alterations. Since then The games has been released as the Gulf Region Edition. The official Xbox One version was not released until sometime after the console itself had its official launch in the region in September 2014 (albeit the console was already being imported and sold by various retailers prior to the official launch). The PC version remain unavailable however consequently blocking access to the downloadable version on Steam.
135,Wolfenstein,Wolfenstein,Germany,Banned because of Nazi references.
136,Wolfenstein 3D,Wolfenstein,Germany,Was banned because of Nazi references.
